Comuna,Clasificacion,Nombre,Ubicacion,Has.x.comuna,Observaciones,Otros
4,Plaza,Miguel Unamuno,Miguel Unamuno / Anibal Ponce / Coni ,0.2962,NA,NA
4,Bajo Autopista,S/D,Montes de Oca / Herrera / Osvaldo Cruz / Rio Cuarto,0.5268,NA,NA
4,Bajo Autopista,S/D,"Montes de Oca/O. Cruz/Rio Cuarto,1300",0.131,NA,NA
4,Bajo Autopista,S/D,Rio Cuarto / Herrera / Iriarte / Hornos ,0.7769,NA,NA
4,Plazoleta,De los Deportistas,Hornos / entre Iriarte y Rio Cuarto,0.0798,NA,NA
4,Bajo Autopista,S/D,Hornos / Iriarte / California / Herrera,0.6562,NA,NA
4,Bajo Autopista,S/D,California / Hornos / Herrera / B. Q. Martin,0.6075,NA,NA
4,Bajo Autopista,Herrera,Hornos / Herrera / B Q Martin,0.471,NA,NA
4,Bajo Autopista,Plaza herrera bajo autopista,Hornos/ Herrera/ B. Q. Martín/ Araoz de Lamadrid,0.3207,NA,NA
4,Bajo Autopista,S/D,Herrera / Hornos / Suarez / Araoz de la Madrid,1.1444,NA,NA
4,Bajo Autopista,S/D,Herrera / Hornos / Suarez / Brandsen,0.9977,NA,NA
4,Plaza,Virrey Vertiz,Herrera / Hornos / Brandsen / Aristobulo del Valle ,1.1052,NA,NA
4,Bajo Autopista,S/D,Herrera / Hornos / Samperio / Aristobulo del valle,1.2316,NA,NA
4,Bajo Autopista,S/D,Herrera / Hornos / Samperio / Finocchieto (limite),3.4192,NA,NA
4,Boulevard,Caseros,Caseros entre Defensa y Bolivar,0.0799,NA,NA
4,Boulevard,Caseros,Caseros entre Bolivar y Peru,NA,NA,NA
4,Boulevard,Caseros,Caseros entre Peru y Chacabuco,NA,NA,NA
4,Boulevard,Caseros,Caseros entre Peru y Piedras ,NA,NA,NA
4,Boulevard,Caseros,Caseros entre Piedras y Tacuari,NA,NA,NA
4,Boulevard,Caseros,Caseros entre Tacuari y Montes de Oca,NA,NA,NA
4,Boulevard,Montes de Oca 1900-2100,"M de Oca, desde Osvaldo Cruz hasta Rio Cuarto",0.25,NA,NA
4,Boulevard,Montes de Oca 1800-1900,"M de Oca, desde Rio Cuarto hasta Iriarte ",NA,NA,NA
4,Boulevard,Montes de Oca 1751-1800,"M de Oca, desde Iriarte hasta Daniel Cerri ",NA,NA,NA
4,Boulevard,Montes de Oca 1701-1751,"M de Oca, desde Daniel Cerri hasta California",NA,NA,NA
4,Boulevard,Montes de Oca 1601-1700,"M de Oca, desde California hasta Salvadores",NA,NA,NA
4,Boulevard,Montes de Oca 1401-1600,"M de Oca, desde Salvadores hasta Q. Martin",NA,NA,NA
4,Boulevard,Montes de Oca 1201-1400,"M de Oca, desde Q. Martin hasta Rocha ",NA,NA,NA
4,Boulevard,Montes de Oca ,Montes de Oca desde Suarez hasta Caseros,0.099,NA,NA
4,Plazoleta,S/D,Hornos e iriarte,0.059,NA,NA
4,Plaza,Vuelta de Obligado,Av. Garay 2300,9.7059,NA,NA
4,Parque,Florentino Ameghino,Av. Caseros / Monasterio / Santa Cruz / Uspallata,4.7344,NA,NA
4,Plazoleta,Julian Centeya,Uspallata / Arriola / Zavaleta,0.0152,NA,NA
4,Plaza,Guillermo Barbieri,Los Patos / Montesquieu / Luna,0.8362,NA,NA
4,Plazoleta,De la Paz,"Juan de Garay 2588, esquina Jujuy",0.0079,NA,NA
4,Plazoleta,Coronel Pringles,Monteagudo / Caseros / Pataones / Corrales Viejos,0.2823,NA,NA
4,Plazoleta,Lopez Torres,Guayquiraro 571,0.1009,NA,NA
4,Plaza,Jose C Paz,Pepiri 501,1.7737,NA,NA
4,Plaza,Nicaragua,Jose C Paz 3350,0.7543,NA,NA
4,Plaza,Herminio Masantonio,Amancio Alcorta 2802,0.3662,NA,NA
4,Parque,De los Patricios,Caseros / Monteagudo / Uspallata / Pepiri,10.0388,NA,NA
4,Parque,De los Patricios,Caseros / Alamafuerte / Pepiri / Uspallata ,NA,NA,NA
4,Plazoleta,Dr Giacobini,Uspallata 3206,0.31,NA,NA
4,Plazoleta,S/D,Uspallata 3157,0.1636,NA,NA
4,Plazoleta,S/D,Uspallata 3151,0.4312,NA,NA
4,Plaza,Jose E Uriburu,"Almafuerte, Uspallata, Pepiri y Chutro",2.7593,Colocacion bomba sumergible,NA
4,Plazoleta,S/D,Patagones y Colonia,0.0056,NA,NA
4,Plazoleta,S/D, Colonia y Los Patos,0.0024,NA,NA
4,Plazoleta,S/D,Uspallata Pepiri Atuel,0.31,NA,NA
4,Plazoleta,s/d,"Favaloro, Uspallata, Monetagudo",0.005,NA,NA
4,CESPED,TEMPLETE C04,CASEROS 3250,0.0728,NA,NA
4,Cantero Central,Clemente Onelli,Amancio Alcorta (entre P.Moreno y Bonavena) TRAMO 1,0.157058,NA,NA
4,Plazoleta,S/D,Amancio Alcorta (entre Bonavena y Juez Magnaud) TRAMO 2,0.0968,NA,NA
4,Plazoleta,Escuela la Banderita,Amancio Alcorta (entre Juez  Magnaud y Pepiri) TRAMO 3,0.1058,NA,NA
4,Plazoleta,Rovira Eduardo,Amancio Alcorta (entre Einstein y E. Ochoa) TRAMO 8,0.3957,NA,NA
4,Plazoleta,S/D,Amancio Alcorta (entre E. Ochoa y Romero) TRAMO 9,0.2975,NA,NA
4,Cantero Central,S/D,Amancio Alcorta (entre Romero y Falucho) TRAMO 10,0.1621,NA,NA
4,Cantero Central,Facio Hébequer,Amancio Alcorta (entre  Falucho y Av. Saenz) TRAMO 11,0.2032,NA,NA
4,Paseo,Paseo de la Memoria ,Amancio Alcorta 3805,0.0869,NA,NA
4,Plaza,Paseo del Riachuelo (ROMERO),Arturo Beruti 4590,0.6151,NA,NA
4,Plaza,Hellen Keller,Gutierrez / Lynch / Einstein,0.2918,NA,NA
4,Plazoleta,Padre E. Contardi / Don Orione,Traful / Diogenes Taborda / P. E. Contardi,0.2006,NA,NA
4,Plazoleta,DON ORIONE,Pepiri / Traful / Diogenes Taborda ,0.0374,NA,NA
4,Plazoleta,Nueva Pompeya,Traful esquina Av. Saenz,0.3545,NA,NA
4,Plaza,Obispo Enrique Angeleli,Beron de Astrada / Erezcano / Ferre / Matanza,1.0692,NA,NA
4,Plazoleta,Erezcano 3600-3700,Rabanal / Beron de Astrada,0.0387,NA,NA
4,Plazoleta,Erezcano 3700-3800,Beron de Astrada y Ferre,0.0494,NA,NA
4,Plazoleta,Erezcano 3800-3850,Ferre / 27 de Febrero,0.0496,NA,NA
4,Plazoleta,Erezcano 3851-3900,Ferre / 27 de Febrero,0.0535,NA,NA
4,Plazoleta,El Alma que Canta ,"Rabanal, entre del Barco Centenera y Agustin de Vedia  (1)",0.925002,NA,NA
4,Plazoleta,Islas Canarias,"Rabanal, entre Agustin de Vedia y Erezcano (2)",0.65962,NA,NA
4,Plazoleta,S/D,"Rabanal, esquina Erezcano ROTONDA VIRGEN (2´)",0.0321,NA,NA
4,Plazoleta,S/D,"Rabanal, entre Erezcano y Charrua (3)",0.56994,NA,NA
4,Plazoleta,S/D,"Rabanal, entre Charrua y Bonorino (4)",0.421378,NA,NA
4,Veredón,S/D,"Triangulo Rabanal, Luppi ",0.02832,NA,NA
4,Plazoleta,Jose Dames,Esquiu / Tilcara / Luppi,0.034692,NA,NA
4,Plazoleta,Nelly Nistal,Las Palmas / Fournier / Luppi,0.017346,NA,NA
4,Plazoleta,Jose Dimilta ,"Perito Moreno, esquina Del Barco Centenera",0.091686,NA,NA
4,Plaza,La morte de Lombardo,"Rivera, desde Del Barco Centenera, hasta Erezcano",0.663514,NA,NA
4,Plaza,Maria Teresa Arbeletche,"Perito Moreno, Fructuoso Rivera y Mom",0.06313,NA,NA
4,Plaza,TOMAS KATARI,"Charrua, esquina Itaqui",0.191986,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre Bonorino y Charrua",0.0344,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre Charrua y Matanza",0.0291,NA,NA
4,Cantero Central,Padre L. Massa,"Fernandez de la Cruz, entre Matanza y Erezcano",0.0592,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre Erezcano y P. Moreno",0.0296,NA,NA
4,Cantero Central,San Lorenzo,"Fernandez de la Cruz, entre P. Moreno y Varela ",0.0332,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre P. Moreno y A. de Vedia ",0.024,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre P. Moreno y A. de Vedia ",0.0044,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre Agustin de Vedia y Mom",0.0672,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre Del B. Centenera y Mom",0.0549,NA,NA
4,Plaza,Melchor P. de Holguin,"Fernandez de la Cruz, entre Del B. Centenera y Lanza",0.1786,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre Del B. Centenera y Lanza",0.0424,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre Lanza y Del Bañado",0.0209,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre Del Bañado y Tilcara",0.0304,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre Gual y Riestra",0.0467,NA,NA
4,Cantero Central,S/D,"Fernandez de la Cruz, entre Fournier y Gual",0.0244,NA,NA
4,Plaza,Tronconi,Tilcara 3285,0.0874,NA,NA
4,Plaza,Homero Manzi,Del Barco Centenera y Riestra 1599,0.1092,NA,NA
4,Ribera,27 de Febrero,"27 de Febrero, desde Saenz hasta Bonorino",1.51,NA,NA
4,Plazoleta,Dario Broggi,Einstein y Del Tigre,0.0316,NA,NA
4,Plazoleta,Presbitero Saenz,Saenz / Uspallata / Raulet,0.041418,NA,NA
4,Plazoleta,Pedro Laurenz,Chiclana / Pomar / Pirovano,0.0193,NA,NA
4,Plazoleta,Ciudad de Lakewood,Alcorta / Monteagudo / Ancaste / FFCC,0.215114,NA,NA
4,NA,Saenz 1400,Lateral Puente Alsina (jardineras ambas manos),NA,NA,NA
4,NA,Saenz esquina Echauri,Saenz esquina Echauri,NA,NA,NA
4,Plaza,Colombia,Pinzon 1634,0.2824,Mejora en patio de juegos,Puesta en valor 2017/2018
4,Plazoleta,San Lucar de Barrameda,Av. Alcorta 2150 y Dr. Carrillo 49,0.142,NA,NA
4,Plazoleta,S/D,Amancio Alcorta (entre Pepiri y D. Taborda) TRAMO 4,0.3376,NA,NA
4,Plazoleta,S/D,Amancio Alcorta y D. Taborda TRAMO 5,0.726,NA,NA
4,Plazoleta,S/D,Amancio Alcorta  (entre Beazley y Cachi) TRAMO 6,0.2591,NA,NA
4,Plazoleta,FRANCISCO GIL,Amancio Alcorta (entre Cachi y Einstein ) TRAMO 7,0.2136,NA,NA
4,Plazoleta,S/D,Einstein y Jose C Paz,0.0083,NA,NA
4,Plazoleta,Juan Maffioli,Uspallata / Puna / Guarani,0.0054,NA,NA
5,PLAZA,Almagro,"SALGUERO, JERONIMO - SARMIENTO - BULNES - PERON, JUAN D., TTE. GRAL. Peron3701",1.35,Alambrado playon deportivo,NA
5,PLAZOLETA,Elias Alippi,ESTADO DE ISRAEL - GUARDIA VIEJA - LAMBARE  Lambare 1240,0.024,NA,NA
5,PLAZOLETA,"Lellis, Jorge Mario","LEZICA - PELUFO, ÁNGEL   Lezica 3901",0.00594,NA,NA
5,PLAZA,Mario A. Amaya,"CONSTITUCION E/BOEDO, AV. Y COLOMBRES Constitucion 3621",0.191965,NA,NA
5,PLAZOLETA,Simon Lazara Diputado Nacional( Moreno 3600),"BOEDO, AV.   Y MORENO  Moreno 3501",0.03392,NA,Puesta en valor 2017/2018
5,PLAZOLETA,Paseo de la Victoria,"RIVADAVIA, AV. - LA PLATA, AV. - YRIGOYEN, HIPOLITO Rivadavia 4301",0.27425,NA,NA
5,PLAZOLETA,S/D-BOEDO,"CALVO, CARLOS - SANCHEZ DE LORIA - ESTADOS UNIDOS - LINIERS, VIRREY",1.1597,NA,NA
5,PLAZOLETA,S/D- MEDRANO 107,AV. MEDRANO 107,0.042,NA,NA
5,PLAZOLETA,Saara Vaamonde,"INDEPENDENCIA, AV. - MUÑIZ - MARMOL, JOSE Independencia 4250",0.189,NA,NA
5,PATIO,Salguero,SALGUERO 751,0.1447,Mejora en patio de juegos,NA
5,PLAZOLETA,Scholem Aleijem ,"CORDOBA, AV. - GASCON - ESTADO DE ISRAEL, AV.  Av Cordoba 4241",0.03287,NA,NA
5,PLAZOLETA,PLAZOLETA SUR,"BOEDO, AV. - BELGRANO, AV. -  PROPIEDAD PARTICULAR Belgrano 3580",0.039241,Mejora en patio de juegos,Puesta en valor 2017/2018
5,JARDIN,Jardines de Colombres y Salcedo,COLOMBRES Y SALCEDO,0.0725,NA,NA
5,JARDIN,PASAJE ANIBAL TROILO,PASAJE ANIBAL TROILO,0.2298,NA,NA
5,JARDIN,PASAJE PANAMA,PASAJE PANAMA,0.2162,NA,NA
5,JARDIN,CORREDOR SUR,ENTORNO (AV. LA PLATA - INCLAN - J. MARMOL - LAS CASAS),0.1734,NA,NA
6,Cantero Central,BOULEVARD HONORIO,Av Dr Honorio Pueyrredon 1075,0.278,NA,NA
6,Plaza ,BRUNO GIORDANO,Rojas 185,1.708,Mejora en patio de juegos,NA
6,Plazoleta,CID CAMPEADOR,Av Gaona 1101,0.026,NA,NA
6,Plazoleta,CRISOLOGO LARRALDE,Rojas y yerbal,0.408,Colocacion de bomba sumergible,NA
6,Plazoleta,CRUCERO GRAL. BELGRANO,Av Patricias Argentinas 291,0.094,NA,NA
6,Patio,DE LOS LECHEROS,Tte. Gral. Donato Álvarez 201,0.256,NA,NA
6,Plaza ,DR AMADEO SABATTINI,Felipe Vallese y Colpayo (ambas manos),0.516,NA,NA
6,plazoleta,Dr  Enrique T Susini,Av. Ángel Gallardo 1092,0.063,NA,NA
6,Plazoleta,Federico Froebel,Eduardo Acevedo 602 (Frente),0.151,NA,NA
6,Plazoleta ,Gaona 1191,Av. Gaona 1191,0.015,NA,NA
6,Plazoleta,Hector Greslebin,Av. Díaz Vélez 4980 (Frente),0.049,NA,NA
6,Plaza ,Irlanda,Av. Gaona 2100,5.26,NA,NA
6,Parque,Rivadavia ,Chaco 215,5.552,Mejora en patio de juegos y canil,NA
6,Plazoleta,Paseo de la vida Rene Favaloro,Rojas  180,0.29,NA,NA
6,Plazoleta ,Luis Perlotti,Neuquén y Mendes Andes,0.009,NA,NA
6,Plaza ,Primera Junta,Av. Rivadavia 5400 ,0.225,NA,NA
6,Vereda Verde,Cra3,Paysandu 591,0.5,NA,NA
6,Plazoleta,s/d,Yerbal 1395,0.006,NA,NA
6,Plazoleta,s/d,Yerbal 1345,0.506,NA,NA
6,Plaza ,Caballito,Rojas 130,0.377,Mejora en patio de juegos,Puesta en valor 2017/2018
6,Cantero Central,"Torrijos, Omar",Av. Patricias Argentinas 28,0.118,NA,NA
6,Plaza ,Jose Bonifacio y Centenera,Jose Bonifacio y Centenera,0.123,NA,Espacio nuevo
6,Cantero Central ,Patricias,Av. Patricias Argentinas 261,0.565,NA,NA
7,Plazoleta, 11 DE NOVIEMBRE DE 185,"DIRECTORIO, AV. - VARELA - TANDIL - ITALIA",0.406,NA,NA
7,Cantero Central, PERITO MORENO,-,0.446,NA,NA
7,Patio,ANTOINE SAINT EXUPERY,ZUVIRÍA E/ SENILLOSA Y DOBLAS,0.168,NA,NA
7,Plazoleta,PZETA ANTONIO MILLAN,"BILBAO, FRANCISCO - CASTAÑON - LAFUENTE",0.96,NA,NA
7,Plazoleta,BARRIO SIMON  BOLIVAR,"PERÓN, EVA, AV. - CURAPALIGÜE, AV. - FERNANEZ MORENO, BALDONERO - DÁVILA (INT. BARRIO SIMÓN BOLIVAR)",3.375,NA,NA
7,Cantero Central,BILBAO 3000,"BILBAO, FRANCISCO, AV. 3000  E/ LAFUENTE, AV. Y SAN PEDRITO AV.",0.06,NA,NA
7,Cantero central,BILBAO 2600,AV BILBAO 2600 Y ARROTEA,0.1,NA,NA
7,Cantero Central,BILBAO 2700,"BILBAO, FRANCISCO, AV. 2700  E/ VARELA Y CULPINA",0.09,NA,NA
7,Cantero Central,BILBAO 2800,BILBAO FRANCISCO AV. 2800,0.07,NA,NA
7,Cantero Central,BILBAO 3100,"BILBAO, FRANCISCO, AV.3100  E/ SAN PEDRITO, AV. Y QUIRNO",0.096,NA,NA
7,Cantero Central,BILBAO 3200,"BILBAO, FRANCISCO, AV.  3201 E/ QUIRNO Y MARTI, JOSE",0.081,NA,NA
7,Cantero Central,BILBAO 3300,"BILBAO, FRANCISCO, AV. 3303  E/ MARTI, JOSE Y PORTELA",0.081,NA,NA
7,Parque,BARRIO JUAN XXIII,"VEDIA, AGUSTIN DE 2255",1.952,NA,NA
7,Plazoleta,CAMACUA 840,CAMACUA 840,0.079,NA,NA
7,Cantero Central,CLUB S. LORENZO,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 2301",1.219,NA,NA
7,PLazoleta,RADIO AFICIONADOS VOLUN,"PERON, EVA, AV.- CURAPALIGUE - ASAMBLEA, AV. - MITRE, EMILIO",0.008,NA,NA
7,Plaza,PLAZA DE LOS VIRREYES,-,2.642,NA,NA
7,Plazoleta,DEL BUEN VECINO,PUMACAHUA - RECUERO - AU 25 DE MAYO,0.063,NA,NA
7,Parque,CEMENTERIO DE FLORES,CASTAÑARES AV. 2600,0.044,NA,NA
7,Plaza,DON SEGUNDO SOMBRA,"SANTANDER - CASTILLO, JUAN DEL - AROMA - RODRIGUEZ ALONSO",0.222,Mejora en patio de juegos,NA
7,Plazoleta, E SANTOS DISCEPOLO,"LA PLATA, AV. - COBO, AV. - SENILLOSA - ZELARRAYAN",0.059,NA,NA
7,Plaza, PLAZA ANGEL GRIS,"AVELLANEDA, AV.  1800 - BOGOTA - CALCENA - ALVAREZ, DONATO, TTE. GRAL., AV.",1.7493,NA,NA
7,Cantero Central,ECHEANDIA 3095,ECHEANDIA 3095,0.052,NA,NA
7,Plaza, FRANCISCO SICARDI,BALBASTRO - PROPIEDAD PARTICULAR - VARELA,0.8617,Mejora en patio de juegos,NA
7,Plazoleta, HERMINIA BRUMANA,"BILBAO, FRANCISCO - MEMBRILLAR - CIPOLLETTI",0.05,NA,NA
7,Plaza, PLAZA JOSE MARTI,"ZUVIRIA - LEVALLE, NICOLAS, TTE. GRAL. - ALVAREZ, CRISOSTOMO - ACOSTA, MARIANO - AUTOPISTA PERITO MORENO (AU 6)",0.5065,NA,NA
7,Cantero Central,PASEO JUAN A PIRKER,"CARABOBO, AV. E/ ZUVIRÍA Y SARAZA",0.312,NA,NA
7,Patio, PATIO DONATO ALVAREZ,DONATO ALVAREZ 800,0.048,NA,NA
7,Patio, PATIO LAUTARO,LAUTARO 800,0.16,NA,NA
7,Plazoleta, RECUERO 3300,"Recuero, Casimiro, Tte. Cnel. 3300",0.054,NA,NA
7,Plaza,Comision de la Vivienda,"BONORINO, ESTEBAN, Cnel. AV. 1551",0.051,Mejora en patio de juegos,Puesta en valor 2017/2018
7,Plaza, PLAZA DE  MISERICORDIA,"DIRECTORIO, AV. - LAUTARO - BILBAO, FRANCISCO - CAMACUA",1.0659,NA,NA
7,Plaza, PLAZA DE PERIODISTA,"NEUQUEN - NAZCA, AV. - PAEZ - TERRADA",1.646,Mejora en patio de juegos,Puesta en valor 2017/2018
7,Plaza, PLAZA PUEYRREDON,"RIVADAVIA, AV. - ARTIGAS, JOSE G., GRAL. - YERBAL - FRAY CAYETANO RODRIGUEZ",3.143,NA,NA
7,Plazoleta, RINCON VERDE KASU MAPU,"LAFUENTE AV. 1179  - PERON, EVA, AV. (B)",0.042,NA,NA
7,Vereda Verde, Mariano Castex ,Crisóstomo Álvarez 2801,4.68,NA,NA
7,Cantero Central, BILBAO 2900,Bilbao Francisco Av 2900,0.1,NA,NA
7,Vereda, CEAMSE,LAFUENTE AV. 1715,0.014,NA,NA
7,Plazoleta, BUSTO CARLOS GARDEL, Eva Perón y Curapaligue,0.009,NA,NA
7,Vereda Verde,CANTERO CASTAÑARES,-,0.4,NA,NA
7,Plazoleta,La paz,"BONORINO, ESTEBAN, CNL., AV. - CASTAÑARES, AV.",0.118,NA,NA
7,Vereda Verde, CANTERO BALBASTRO E/M,Balbastro e/ Mariano Acosta y Lafuente,0.488,NA,NA
7,Vereda Verde, PERITO MORENO 3651,"MORENO, PERITO 3651",0.3,NA,NA
7,Plazoleta, BARRIO FONAVI,LAFUENTE Y BALBASTRO (LAFUENTE 1600),0.1,Mejora en patio de juegos,Puesta en valor 2017/2018
7,Plazoleta, MARCO DEL PONT,Gral. José Gervasio Artigas 202,0.192,NA,NA
7,Vereda Verde,RECUERO Y 25 DE MAYO,"RECUERO, CASIMIRO, TTE. CNEL. - AU 25 DE MAYO - RIVERA INDARTE",0.01,NA,NA
7,Vereda Verde, PATIO FRAY CAYETANO,FRAY CAYETANO - VIAS DEL FFCCSARMIENTO,0.0243,NA,NA
7,Plazoleta,TUPAC AMARU,"LAFUENTE - PERON, EVA, AV.",1.615,NA,NA
7,Cantero Central,BARRIO RIVADAVIA 1 Y 2,"BONORINO, TORRES, TENORIO",0.006,NA,NA
7,Jardin,VARELA 954,VARELA AV. 954,0.1,NA,NA
7,Jardin,IGNACIO RODRIGUEZ,"RODRIGUEZ, IGNACIO F., PJE  E / VARELA Y PEDERNERA",0.1,NA,NA
7,Plazoleta,VENANCIO FLORES,VENANCIO FLORES 3200,0.342,NA,NA
7,Cantero Central,Corredor Eva Peron,Av. Eva Perón 2601-3001,0.372,NA,NA
7,Plazoleta,Dr. Avelino Gutierrez,EMILIO MITRE 701,0.068,NA,NA
7,Plazoleta,Dr. Jose L. Romero,"FERNANDEZ MORENO, BALDOMERO - PUAN - PROPIEDAD PARTICULAR",0.021,NA,NA
7,Patio,PATIO ALBARRACIN,Albarracin 1470,0.022,NA,NA
8,PLAZA,Descanso del Peregrino,"Acosta, Mariano 2990",0.249,NA,NA
8,PLAZA,Nuestra Señora de Fatima,"Acosta, Mariano 3001",0.623,NA,NA
8,PLAZOLETA,De Los Milagros (Skanderberg),"Alvarez, Crisostomo 5431",0.202,Mejora en patio de juegos,NA
8,PLAZA,ANA DIAZ,Ana Diaz 5401,0.507,NA,NA
8,PLAZOLETA,"Saavedra, Mariano","Argentina, Av. 4801",0.127,NA,NA
8,PLAZOLETA,De los Jubilados (Fray Pedro Agustin Cueli),"Argentina, Av. 5201",0.004,NA,NA
8,PLAZOLETA,SIN DENOMINACION,"Argentina, Av. 5501",0.056,NA,NA
8,PLAZOLETA,SIN DENOMINACION,"Argentina, Av. 5601",0.048,NA,NA
8,PLAZOLETA,"Gomez Carrillo, Manuel","Argentina, Av. 5900",0.009,NA,NA
8,PARQUE,INDOAMERICANO,LACARRA AV - ESCALADA AV - CASTAÑARES AV. - FERNANDEZ DE LA CRUZ FRANCISCO GRAL.,144.64,NA,NA
8,PARQUE,DE LAS VICTORIAS,LARRAZABAL AV - FERNANDEZ DE LA CRUZ FRANCISCO GRAL - ROCA CNEL AV.,74.62,NA,NA
8,PLAZOLETA,SIN DENOMINACION,"Argentina, Av. 6680",0.076,NA,NA
8,PLAZOLETA,SIN DENOMINACION,"Argentina, Av. 6904",0.017,NA,NA
8,CANTERO CENTRAL,SIN DENOMINACION,Cafayate 4811,0.014,NA,NA
8,CANTERO CENTRAL,SIN DENOMINACION,Cafayate 4861,0.003,NA,NA
8,CANTERO CENTRAL,SIN DENOMINACION,Cafayate 4897,0.005,NA,NA
8,CANTERO CENTRAL,SIN DENOMINACION,Cafayate 4901,0.044,NA,NA
8,CANTERO CENTRAL,SIN DENOMINACION,Cafayate 5023,0.05,NA,NA
8,CANTERO CENTRAL,SIN DENOMINACION,Cafayate 5148,0.043,NA,NA
8,CANTERO CENTRAL,SIN DENOMINACION,Cafayate 5207,0.046,NA,NA
8,CANTERO CENTRAL,SIN DENOMINACION,Cafayate 5309,0.017,NA,NA
8,CANTERO CENTRAL,SIN DENOMINACION,Cafayate 5361,0.02,NA,NA
8,PLAZOLETA,CAFAYATE,Cafayate 5300,0.15,NA,NA
8,PLAZOLETA,Prefectura Naval Argentina,Cañonera America 4901,0.158,NA,NA
8,PLAZOLETA,Caras y Caretas,Corbeta Belfast 5301,0.063,NA,NA
8,PLAZOLETA,"Rega Molina, Horacio","De la Rosa, Jose I. Dr. 5750",0.049,NA,NA
8,PLAZA,Democracia,"De la Torre, Lisandro 5401",3.22,NA,NA
